area,iso_area,building_type,building_name,betweenness,degree_centrality,eigenvector_centrality,closeness_centrality,degree,clustering_coef,id,area_norm,iso_area_norm,degree_norm
117,167,monastery,MN0017,0.25041050903119866,0.13793103448275862,0.08834885519630002,0.35365853658536583,4,0,MN0017_005,0.0014147863309874483,0.0021701840108119346,0.06349206349206349
103,119,monastery,MN0017,0.0,0.06896551724137931,0.10580052428242848,0.27102803738317754,2,1.0,MN0017_006,0.00124549565890348,0.0015464185466264684,0.031746031746031744
87,106,monastery,MN0017,0.007389162561576354,0.10344827586206896,0.2705956720269561,0.3372093023255814,3,0.6666666666666666,MN0017_007,0.0010520206050932308,0.0013774820667429046,0.047619047619047616
80,107,monastery,MN0017,0.24844006568144505,0.10344827586206896,0.2166648081133079,0.3972602739726027,3,0,MN0017_008,0.0009673752690512467,0.0013904771805801019,0.047619047619047616
51,72,monastery,MN0017,0.020032840722495893,0.10344827586206896,0.12290011005303647,0.29,3,0.3333333333333333,MN0017_009,0.0006167017340201697,0.0009356481962781994,0.047619047619047616
44,204,monastery,MN0017,0.28604269293924456,0.1724137931034483,0.34686100274338494,0.4142857142857143,5,0.2,MN0017_010,0.0005320563979781857,0.0026510032227882317,0.07936507936507936
44,120,monastery,MN0017,0.3054187192118227,0.1724137931034483,0.2887967940130466,0.35365853658536583,5,0.2,MN0017_011,0.0005320563979781857,0.0015594136604636657,0.07936507936507936
41,54,monastery,MN0017,0.1354679802955665,0.13793103448275862,0.11849456213837883,0.2761904761904762,4,0.16666666666666666,MN0017_012,0.000495779825388764,0.0007017361472086496,0.06349206349206349
38,48,monastery,MN0017,0.0,0.06896551724137931,0.21104512729105934,0.31521739130434784,2,1.0,MN0017_013,0.00045950325279934216,0.0006237654641854663,0.031746031746031744
34,177,monastery,MN0017,0.0,0.034482758620689655,0.013514295653149676,0.2265625,1,0,MN0017_014,0.00041113448934677985,0.002300135149183907,0.015873015873015872
33,64,monastery,MN0017,0.03489326765188833,0.10344827586206896,0.17083043904464548,0.3372093023255814,3,0.3333333333333333,MN0017_015,0.0003990422984836393,0.0008316872855806217,0.047619047619047616
33,95,monastery,MN0017,0.12249589490968801,0.13793103448275862,0.08562330679562795,0.30851063829787234,4,0.16666666666666666,MN0017_016,0.0003990422984836393,0.0012345358145337353,0.06349206349206349
27,36,monastery,MN0017,0.0,0.034482758620689655,0.022242890465450877,0.23770491803278687,1,0,MN0017_017,0.0003264891533047958,0.0004678240981390997,0.015873015873015872
25,36,monastery,MN0017,0.0,0.034482758620689655,0.02295054344230956,0.2636363636363636,1,0,MN0017_018,0.0003023047715785146,0.0004678240981390997,0.015873015873015872
25,31,monastery,MN0017,0.0,0.034482758620689655,0.14075328145619664,0.3118279569892473,1,0,MN0017_019,0.0003023047715785146,0.00040284852895311365,0.015873015873015872
24,37,monastery,MN0017,0.0,0.06896551724137931,0.1901474207933473,0.31521739130434784,2,1.0,MN0017_020,0.000290212580715374,0.0004808192119762969,0.031746031746031744
17,103,monastery,MN0017,0.21691297208538587,0.1724137931034483,0.18785640853631586,0.35365853658536583,5,0.2,MN0017_021,0.00020556724467338993,0.001338496725231313,0.07936507936507936
16,136,monastery,MN0017,0.0,0.06896551724137931,0.1901474207933473,0.31521739130434784,2,1.0,MN0017_022,0.00019347505381024933,0.0017673354818588212,0.031746031746031744
14,45,monastery,MN0017,0.0,0.034482758620689655,0.012589761712371557,0.23577235772357724,1,0,MN0017_023,0.00016929067208396818,0.0005847801226738747,0.015873015873015872
14,18,monastery,MN0017,0.0,0.034482758620689655,0.04880008719450319,0.2636363636363636,1,0,MN0017_024,0.00016929067208396818,0.00023391204906954985,0.015873015873015872
14,212,monastery,MN0017,0.0922824302134647,0.13793103448275862,0.20387529599650103,0.35365853658536583,4,0.16666666666666666,MN0017_025,0.00016929067208396818,0.002754964133485809,0.06349206349206349
13,32,monastery,MN0017,0.0,0.06896551724137931,0.07104297765995406,0.28431372549019607,2,1.0,MN0017_026,0.00015719848122082759,0.00041584364279031083,0.031746031746031744
12,16,monastery,MN0017,0.0,0.034482758620689655,0.07501975877442356,0.2636363636363636,1,0,MN0017_027,0.000145106290357687,0.00020792182139515541,0.015873015873015872
10,17,monastery,MN0017,0.0,0.034482758620689655,0.030780765508004918,0.21804511278195488,1,0,MN0017_028,0.00012092190863140584,0.00022091693523235264,0.015873015873015872
8,20,monastery,MN0017,0.0,0.034482758620689655,0.030780765508004918,0.21804511278195488,1,0,MN0017_029,9.673752690512467e-05,0.0002599022767439443,0.015873015873015872
13379,4555,monastery,MN0027,0.6757246376811594,0.29166666666666663,0.44529547043178797,0.5454545454545454,7,0.09523809523809523,MN0027_000,0.16178142155795788,0.05919274352843331,0.1111111111111111
1824,1374,monastery,MN0027,0.44565217391304346,0.29166666666666663,0.2024134284027128,0.43636363636363634,7,0,MN0027_001,0.022056156134368426,0.017855286412308973,0.1111111111111111
